dataset,n,p,density,GapSafe,Hessian,Working,EDPP
arcene,100,10000,0.540941,2.23416859,1.224422307,0.789696682,NA
colon-cancer,62,2000,1,0.186301034,0.068494664,0.07363025499999999,NA
dorothea,800,88119,0.010323539758735347,24.256841806,13.342859072,12.707332184,NA
gisette,6000,5000,0.9909999,38.014178948,15.436240896,25.668989603,NA
ijcnn1,35000,22,0.5909077922077922,12.885389493,5.67856707,9.699134911,NA
leukemia,38,7129,1,0.17267900700000002,0.088165854,0.086884533,NA
madelon,2000,500,0.999999,65.831517778,32.788604551000006,62.289206275,NA
news20,19996,1355191,NA,3109.123265188,472.261495684,460.45105502999996,NA
