dataset,n,p,density,GapSafe,Hessian,Working,EDPP
abalone,4177,8,0.9999401484318889,0.152878172,0.016927679,0.16596787500000001,0.14075662
e2006-log1p,3308,4272226,NA,605.055464571,107.11706177500001,106.969675759,209.401408673
e2006-tfidf,16087,150360,NA,113.303612264,16.158304239,20.493126897,109.17219314399999
YearPredMSD,463715,90,0.9999999041556895,35.622506625999996,16.159528171,28.094905428,27.767456092
